id,residuos_negativos,ztest_spatial_low,quantile,lisa_LH,n_votes
17330234.0,1,0,1,0,2
17330235.0,1,0,1,0,2
17330232.0,1,0,1,0,2
17098959.0,1,0,1,1,3
16781745.0,1,0,1,0,2
18229804.0,1,0,1,0,2
18229800.0,1,0,1,0,2
18229799.0,1,0,1,0,2
18414868.0,1,0,1,1,3
18986048.0,1,0,1,0,2
17083551.0,1,0,1,1,3
18321466.0,1,0,1,0,2
16331172.0,1,0,1,0,2
17843971.0,1,0,1,0,2
18563872.0,1,0,1,1,3
16486209.0,1,0,1,1,3
18549298.0,1,0,1,1,3
17429991.0,1,0,1,0,2
18836859.0,1,0,1,1,3
16914245.0,1,0,1,0,2
18549295.0,1,0,1,1,3
18280200.0,1,0,1,1,3
18205598.0,1,0,1,1,3
18946051.0,1,0,0,0,1
18946049.0,1,0,0,0,1
18946048.0,1,0,0,0,1
18946030.0,1,0,0,0,1
17352280.0,1,0,0,1,2
18896415.0,1,0,0,0,1
16986548.0,1,0,0,0,1
18789796.0,1,0,0,1,2
16986547.0,1,0,0,0,1
18937841.0,1,0,0,0,1
18784358.0,1,0,0,0,1
16074098.0,1,0,0,0,1
16067583.0,1,1,0,0,2
17825404.0,1,0,0,0,1
18524853.0,1,0,0,0,1
18524855.0,1,0,0,0,1
18115631.0,1,0,0,0,1
17843966.0,1,0,0,0,1
16331168.0,1,0,0,0,1
18322401.0,1,0,0,0,1
18322410.0,1,0,0,0,1
16150862.0,1,0,0,1,2
17504763.0,1,0,0,1,2
18095507.0,1,0,0,0,1
16522302.0,1,0,0,0,1
17614380.0,1,0,0,0,1
18420096.0,1,0,0,1,2
18432041.0,1,0,0,0,1
18432042.0,1,0,0,0,1
18432043.0,1,0,0,0,1
18996844.0,1,0,0,0,1
18996840.0,1,0,0,0,1
18996838.0,1,0,0,0,1
18497300.0,1,0,0,1,2
18596221.0,1,0,0,1,2
15738268.0,1,0,0,1,2
18792062.0,1,0,0,0,1
18792050.0,1,0,0,0,1
18992712.0,1,0,0,0,1
18992713.0,1,0,0,0,1
18874940.0,1,0,0,0,1
11483888.0,1,0,0,0,1
11483912.0,1,0,0,0,1
11483921.0,1,0,0,0,1
11483927.0,1,0,0,0,1
11483909.0,1,0,0,0,1
11483916.0,1,0,0,0,1
11483920.0,1,0,0,0,1
11483923.0,1,0,0,0,1
11480654.0,1,0,0,0,1
18145538.0,1,0,0,1,2
18995932.0,1,0,0,0,1
18651890.0,1,0,0,0,1
16269746.0,1,0,0,1,2
17843976.0,1,0,0,0,1
16331175.0,1,0,0,0,1
18927987.0,1,0,0,0,1
18827380.0,1,1,0,1,3
18782306.0,1,0,0,1,2
17792453.0,1,0,0,0,1
18870511.0,1,1,0,0,2
18437702.0,1,0,0,0,1
18376419.0,1,0,0,0,1
17630329.0,1,0,0,1,2
17237856.0,1,0,0,1,2
17360570.0,1,0,0,0,1
17776503.0,1,0,0,0,1
