id;url;precio;expensas;area_m2;dormitorios;antiguedad;puntaje_arg_prop;imagen_path;image_url;lat;lon;valido_desde;valido_hasta;geometry;index_right;nombre;comuna;ambientes;precio_m2;superficie_por_ambientes;tipo_inmueble_departamento;tipo_inmueble_ph
17791232;https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--17791232;149990.0;98000.0;50.0;2 dorm.;2.0;1;images/17791232.jpg;https://proxy.sosiva451.com/proxy/7A43C567F2F44BAE796A2219A2928EA7229CC8EDDC90CD2F5930CBACC75EA02A5634F42A481A31E637E0FE363384A8A05552B9E1829DECAAF01BDADBD0562C5B5F64F6656B916290C01090F65D36B9A1BAA2D987EBB776779B2D8AAF87244122;-346.286;-584.465;2026-01-17 23:35:45.671736;;POINT (-6506234.618649065 -4113523.2126735146);7.0;Caballito;6.0;3;2999.8;16.666.666.666.666.600;True;False
17693156;https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--17693156;167700.0;270000.0;92.0;3 dorm.;2.0;46598;images/17693156.jpg;https://www.argenprop.com/static-content/65139671/55e079b7-5c3d-4890-bcdb-a383bd4ffd87_u_small.jpg;-3.462.698;-5.845.153;2026-01-18 22:38:43.162984;;POINT (-6506794.5556877535 -4113304.053413939);7.0;Caballito;6.0;4;18.228.260.869.565.200;23.0;True;False
17693156;https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--17693156;167700.0;270000.0;92.0;3 dorm.;2.0;46598;images/17693156.jpg;https://www.argenprop.com/static-content/65139671/55e079b7-5c3d-4890-bcdb-a383bd4ffd87_u_small.jpg;-3.462.698;-5.845.153;2026-01-18 22:54:38.678538;;POINT (-6506794.5556877535 -4113304.053413939);7.0;Caballito;6.0;4;18.228.260.869.565.200;23.0;True;False
17693156;https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--17693156;167700.0;270000.0;92.0;3 dorm.;2.0;46598;images/17693156.jpg;https://www.argenprop.com/static-content/65139671/55e079b7-5c3d-4890-bcdb-a383bd4ffd87_u_small.jpg;-3.462.698;-5.845.153;2026-01-18 23:15:20.634925;;POINT (-6506794.5556877535 -4113304.053413939);7.0;Caballito;6.0;4;18.228.260.869.565.200;23.0;True;False
17693156;https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--17693156;167700.0;270000.0;92.0;3 dorm.;2.0;46598;images/17693156.jpg;https://www.argenprop.com/static-content/65139671/55e079b7-5c3d-4890-bcdb-a383bd4ffd87_u_small.jpg;-3.462.698;-5.845.153;2026-01-19 01:57:02.007793;;POINT (-6506794.5556877535 -4113304.053413939);7.0;Caballito;6.0;4;18.228.260.869.565.200;23.0;True;False
18024026;https://www.argenprop.com/departamento-en-venta-en-flores-4-ambientes--18024026;167700.0;270000.0;92.0;3 dorm.;2.0;12000;images/18024026.jpg;https://www.argenprop.com/static-content/65139671/b4d342f8-94ad-426a-8182-16e47058cf96_u_small.jpg;-3.462.698;-5.845.153;2026-01-19 01:57:04.725017;;POINT (-6506794.5556877535 -4113304.053413939);7.0;Caballito;6.0;4;18.228.260.869.565.200;23.0;True;False
18641920;https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--18641920;75000.0;120000.0;31.0;0;20.0;2941;images/18641920.jpg;https://www.argenprop.com/static-content/02914681/5c437127-9942-4cc9-b89d-c10ab6fe72e3_u_small.jpg;-34.629.696;-58.447.063;2026-01-19 01:57:31.116321;;POINT (-6506297.291522381 -4113671.485809373);7.0;Caballito;6.0;1;24.193.548.387.096.700;31.0;True;False
18804717;https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--18804717;89000.0;184000.0;45.0;2 dorm.;45.0;1505;images/18804717.jpg;https://www.argenprop.com/static-content/71740881/b8b008ce-2f2d-4384-942e-c54b52913d38_u_small.jpg;-34.613.876;-58.435.883;2026-01-19 01:58:06.728076;;POINT (-6505052.739615311 -4111531.4557785233);7.0;Caballito;6.0;3;19.777.777.777.777.700;15.0;True;False
18021717;https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--18021717;118000.0;196000.0;55.0;2 dorm.;35.0;3250;images/18021717.jpg;https://www.argenprop.com/static-content/71712081/1065f269-02df-4546-b054-d714cff4c9bc_u_small.jpg;-3.455.317;-58.462.357;2026-01-19 01:57:25.699755;;POINT (-6507999.811814572 -4103323.312172997);19.0;Nuñez;13.0;3;21.454.545.454.545.400;18.333.333.333.333.300;True;False
17610947;https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--17610947;45000.0;50000.0;18.0;0;3.558.273.381.294.960;1;images/17610947.jpg;https://www.argenprop.com/static-content/74901671/9a4acf15-a6f3-4048-bbac-50766c793f89_u_small.jpg;-3.458.874;-5.843.002;2026-01-19 22:20:57.594984;;POINT (-6504400.07344079 -4108132.0544893006);20.0;Palermo;14.0;1;2500.0;18.0;True;False
18699782;https://www.argenprop.com/departamento-en-venta-en-las-canitas-1-ambiente--18699782;69600.0;90000.0;28.0;1 dorm.;35.0;2002;images/18699782.jpg;https://www.argenprop.com/static-content/28799681/07a19387-c017-47bc-a004-a5f6c5f76c43_u_small.jpg;-3.456.502;-5.843.794;2026-01-19 01:57:47.064270;;POINT (-6505281.723807873 -4104925.09651308);20.0;Palermo;14.0;2;2.485.714.285.714.280;14.0;True;False
17110256;https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--17110256;84900.0;100000.0;33.0;1 dorm.;50.0;1551;images/17110256.jpg;https://www.argenprop.com/static-content/65201171/e4a0132a-86b2-4f4a-a585-ed93889f09fc_u_small.jpg;-345.854;-5.841.265;2026-01-19 01:58:03.435644;;POINT (-6502466.453885712 -4107680.4291583207);20.0;Palermo;14.0;2;25.727.272.727.272.700;16.5;True;False
17928317;https://www.argenprop.com/departamento-en-venta-en-puerto-madero-3-ambientes--17928317;520000.0;150000.0;130.0;2 dorm.;16.0;7504;images/17928317.jpg;https://www.argenprop.com/static-content/71382971/c9883ba8-bc8c-4cc3-9542-400deacf13b3_u_small.jpg;-34.610.268;-58.362.907;2026-01-19 01:57:08.011833;;POINT (-6496929.088455182 -4111043.4453661987);26.0;Puerto Madero;1.0;3;4000.0;43.333.333.333.333.300;True;False
18560032;https://www.argenprop.com/departamento-en-venta-en-puerto-madero-3-ambientes--18560032;520000.0;500000.0;112.0;2 dorm.;15.0;7420;images/18560032.jpg;https://www.argenprop.com/static-content/23006581/a2e3d610-5a9f-462d-824a-3b5930e67bdc_u_small.jpg;-34.610.447;-5.836.333;2026-01-19 01:57:08.094479;;POINT (-6496976.176599787 -4111067.6560257883);26.0;Puerto Madero;1.0;3;4.642.857.142.857.140;37.333.333.333.333.300;True;False
17928350;https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--17928350;420000.0;450000.0;205.0;2 dorm.;60.0;2101;images/17928350.jpg;https://www.argenprop.com/static-content/05382971/4d75af1d-a469-4fb2-a525-258272ff7816_u_small.jpg;-3.459.205;-5.839.202;2026-01-19 01:57:43.508855;;POINT (-6500169.932790646 -4108579.641216001);27.0;Recoleta;2.0;3;20.487.804.878.048.700;6.833.333.333.333.330;True;False
17053404;https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--17053404;58500.0;94000.0;21.0;0;42.0;2260;images/17053404.jpg;https://www.argenprop.com/static-content/40435071/ecfabece-2a69-4d75-9d7f-f1f149db2411_u_small.jpg;-3.458.851;-5.840.961;2026-01-19 01:57:40.750280;;POINT (-6502128.0426337 -4108100.9539593556);27.0;Recoleta;2.0;1;2.785.714.285.714.280;21.0;True;False
18560591;https://www.argenprop.com/departamento-en-venta-en-recoleta-2-ambientes--18560591;75000.0;0.0;35.0;1 dorm.;50.0;0;images/18560591.jpg;https://proxy.sosiva451.com/proxy/CD7BD6A45394E55A6F8E5083E6834EB48D56CAD9741933D659FA91ED441136AB80A203061B5EFF5860F898929980A78024906550DC6F67F8C22EE29A718C39E27C765C904D77CCA860370305E22EAF5A0EF32E78C39B1DCFB8FE00D9B5C902B2;-3.459.275;-583.794;2026-01-17 23:35:34.633041;;POINT (-6498765.080816835 -4108674.2993035517);28.0;Retiro;1.0;2;21.428.571.428.571.400;17.5;True;False
