idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras
563,16149356.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--16149356,157500.0,USD,,Departamento,47.0,4.0,51.0,,,2.0,2.0,Excelente,Contrafrente,S,-34.55828,-58.46355,https://proxy.sosiva451.com/proxy/CD66FE540A24CBC41C70A5CE467AC6F620E87895A7806E6D01196335F759DEEC091EE74E14412A8DFF875DF9226263A9DE5E1BEFCF053FA537A322A435B461F3F30014C0F23266D9DFAF2CF543824F493A8CB92DC76996AD324A9D60ED808B91,images/16149356.jpg,,,b''
564,18510342.0,https://www.argenprop.com/departamento-en-venta-en-villa-devoto-3-ambientes--18510342,125000.0,USD,160000.0,Departamento,52.0,,58.0,45.0,,3.0,1.0,Muy Bueno,Frente,S,-34.61398,-58.51079,https://proxy.sosiva451.com/proxy/D7A05703F822B52485C771218B252353A2279404C33FE399DC8E84122F1A09D6F4889594AF91AF9CB55E4D8E6C6FFD9B8AA2DB352FE71997D7FA2F9AF520D75C76E357E8C79A6CFB404B3329CB6457A5955157001D2075753C40E0264BF0B251,images/18510342.jpg,,,b''
565,16263764.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-4-ambientes--16263764,466290.0,USD,,Departamento,123.0,18.0,141.0,,,4.0,3.0,Excelente,Contrafrente,S,-34.57818,-58.48527,https://proxy.sosiva451.com/proxy/9C53C691DDF58B7BF3F308F8BA371391BDA16CBFEF18FE6D4FF2E83022041BB805D7B14F7F5617259AC4A56DE295DE9F889BF4E741198891C0692BFB8A313F8D33B6B243A136EC9649EFAF8C3E007FA8F5CB95B96E973AB22D7D491F60954C3D,images/16263764.jpg,,,b''
566,18688621.0,https://www.argenprop.com/departamento-en-venta-en-coghlan-3-ambientes--18688621,279000.0,USD,254000.0,Departamento,79.0,12.0,91.0,2.0,,3.0,2.0,Excelente,Contrafrente,,-34.56065,-58.47154,https://proxy.sosiva451.com/proxy/F3169354AC59FD525EC0BEB9BE19EFAE4F58A2DB4B5CEC5544332D4FC8918277B0CCFF5EBCDA7262C6380F3758AB31BD7F3ECD503BE79F6375EF6027D14FF74CBC148E1E02A9B57272795D0BFA109762F8AD5251C1B2CC7A90EEA55A5869EE76,images/18688621.jpg,,,b''
567,18688822.0,https://www.argenprop.com/departamento-en-venta-en-coghlan-3-ambientes--18688822,249000.0,USD,210000.0,Departamento,67.0,13.0,80.0,2.0,,3.0,1.0,Excelente,Contrafrente,,-34.56065,-58.47154,https://proxy.sosiva451.com/proxy/A061D5AF881A973C890E86C4CF2F82F593DBF815F06DF33920E4BE0F304B62880CEED39EDA030F145AE29D4F8645E63C9F190797CBAD5A438ADF29611C7E55E3391F42DBCB9FF5DD121A05B718C837E5795CE73C8D91D0D47DAD85E39992C86F,images/18688822.jpg,,,b''
568,12742831.0,https://www.argenprop.com/departamento-en-venta-en-colegiales-2-ambientes--12742831,163755.0,USD,,Departamento,40.0,8.0,48.0,,,2.0,1.0,Excelente,Contrafrente,,-34.57335,-58.44788,https://proxy.sosiva451.com/proxy/6B27789E63968A1B4108701351C15FD0D527CED093F370455C5C39BC48DB33CAFB5160E582E5A434432388408461506330D25C1037413532055B9A3FBF861E5192334BC96F030A5E2F300C659C85DDA95A3C5DFA9F779232D1AB1A8037C97375,images/12742831.jpg,,,b''
569,18524661.0,https://www.argenprop.com/departamento-en-venta-en-villa-ortuzar-2-ambientes--18524661,187481.0,USD,,Departamento,46.0,,56.0,,,2.0,1.0,,Frente,,-34.58049,-58.4609,https://proxy.sosiva451.com/proxy/25AEE02A560D7207156E71C7E0BFF21E7DA22D214A791448B1FF6A4327FA8505A2B19A654BF3873E0B696C57C4CAA0323161FDD539FC0C0AC0FF62A2940F76BC6499F3973F5E0376716815C461056C65156495A60D849C6004AD4A6818BB94D2,images/18524661.jpg,,,b''
570,9028710.0,https://www.argenprop.com/departamento-en-venta-en-san-cristobal-2-ambientes--9028710,140000.0,USD,13800.0,Departamento,50.0,,60.0,10.0,,2.0,2.0,Excelente,Frente,E,-34.6234,-58.39633,https://proxy.sosiva451.com/proxy/9D135E29025B334C802F76980E5812909B2834D11E1DA0BC4BBE761B7F35938061BC841EB5A197ED9055067669DC94D2671185C3E184498383819524A9F38519CFA225760FB49C020D2FAD2BF8A8C0CC95337AE425B009C0CF85714E28354B7B,images/9028710.jpg,,,b''
571,14640564.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--14640564,,,,,,,,,,,,,,,,,https://proxy.sosiva451.com/proxy/985D290FDD28668C71114853F5E83B656BF02A69DC2A3A09AFD356BA91D345AB5F6B0B5AA7AA064F312FE2156429298D5FBD8CD63D3CD85136D22BD0373819796EC11D61B088A7C02E6B642542BCFFAF0422AA6F68906A94D45DA201B59B30B5,images/14640564.jpg,,,b''
572,16043798.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--16043798,170500.0,USD,,Departamento,45.0,15.0,60.0,,,2.0,1.0,Excelente,Frente,N,-34.57336,-58.48043,https://proxy.sosiva451.com/proxy/4F03301E5AEFA39E4BB86142D8B8AFED9996F65148984FD33D6253CBCBFEC11ADD3CEB783A1ECDEC4F006D3541B18D8FBF643CC9D66238F07F324738F0B39F37CBAF29E286E6B750EEC641230BCFBA0EF4100550541D0DCBD13C7C61764C7045,images/16043798.jpg,,,b''
