id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde
17937578,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--17937578,"(nan, nan)",0.0,,2 dorm.,,0,images/17937578.jpg,https://www.argenprop.com/static-content/87573971/c9d501ab-0cbf-43e5-a0e1-430df81da479_u_small.jpg,-34.59243,-58.40765,2026-01-26 19:23:51.545688
18919738,https://www.argenprop.com/departamento-en-alquiler-en-flores-norte-3-ambientes--18919738,"(nan, nan)",0.0,,2 dorm.,,2,images/18919738.jpg,https://www.argenprop.com/static-content/83791981/ba56d26c-b740-494e-9931-c17bd332ddfa_u_small.jpg,-34.61728,-58.46647,2026-01-26 19:23:51.547790
18796602,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--18796602,"(nan, nan)",0.0,,1 dorm.,,1,images/18796602.jpg,https://www.argenprop.com/static-content/20669781/cbc6fbbf-1e3f-489e-9cf8-4f11ec88e243_u_small.jpg,-34.6049,-58.38947,2026-01-26 19:23:51.548774
18901391,https://www.argenprop.com/departamento-en-alquiler-en-lomas-de-nunez-2-ambientes--18901391,"(nan, nan)",0.0,,1 dorm.,,0,images/18901391.jpg,https://www.argenprop.com/static-content/19310981/77b827b3-a54b-4495-b0a0-dd4c26679f4c_u_small.jpg,-34.539635,-58.47589,2026-01-26 19:23:51.549786
18571559,https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--18571559,"(nan, nan)",0.0,,1 dorm.,,77,images/18571559.jpg,https://www.argenprop.com/static-content/95517581/cb9c7bdc-0d49-437f-812a-edf9b1359e6f_u_small.jpg,-34.54325,-58.46313,2026-01-26 19:23:51.549786
12122767,https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-3-ambientes--12122767,"(nan, nan)",0.0,,2 dorm.,,200,images/12122767.jpg,https://www.argenprop.com/static-content/76722121/c6a87a42-6576-4429-9875-a45c6bd7c0a8_u_small.jpg,-34.61511,-58.42956,2026-01-26 19:23:51.550789
18835132,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18835132,"(nan, nan)",0.0,,,,720,images/18835132.jpg,https://www.argenprop.com/static-content/23153881/77b90343-add6-473e-9e8d-d1f8b4dace87_u_small.jpg,-34.56319,-58.45606,2026-01-26 19:23:51.551810
18919662,https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18919662,"(nan, nan)",0.0,,,,2,images/18919662.jpg,https://www.argenprop.com/static-content/26691981/5b4bf35c-8d07-4527-9fe8-78b1cb504bf2_u_small.jpg,-34.61607,-58.39066,2026-01-26 19:23:51.553777
17029731,https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--17029731,"(nan, nan)",0.0,,2 dorm.,,1,images/17029731.jpg,https://www.argenprop.com/static-content/13792071/0a06cec7-b345-4652-bc9f-64fb3e6de190_u_small.jpg,-34.62847,-58.43627,2026-01-26 19:23:51.554784
18919650,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18919650,"(nan, nan)",0.0,,1 dorm.,,0,images/18919650.jpg,https://www.argenprop.com/static-content/05691981/b46dad78-6f7a-4ecd-9215-df97784c6e31_u_small.jpg,-34.61784,-58.428856,2026-01-26 19:23:51.555778
