idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio,tipo_valor_atipico
4256,18365811.0,2026-02-09 02:31:07.589351,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18365811,5191165.0,USD,680000.0,Departamento,140.0,0.0,150.0,25.0,,3.0,4.0,Excelente,Frente,,2.0,-34.58483,-58.39634,https://proxy.sosiva451.com/proxy/E8F54F8CC1578968E4C0C859443BC8E615B9431937B558B015EC31DEAD9C3274B97FF46F93D6D90F4C467E39DFB6948CBA6901EFC2CFA8FC72186E52822894FF524DDDBA7A0F019541599C32302A1B837CE71D3EA8EA57CB35C67CB091AFBD6D,images/18365811.jpg,2.0,POINT (-6500650.832990873 -4107603.3571875584),27.0,Recoleta,2.0,25,5,15.462468700087294,BAJO
4347,18746246.0,2026-02-09 13:20:59.253690,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18746246,3707975.0,USD,1000000.0,,100.0,9.0,109.0,49.61290322580645,,3.0,2.0,Muy Bueno,Frente,,1.0,-34.590942,-58.38694,https://proxy.sosiva451.com/proxy/9E1F23CA62FD3EBEA2E6D8C13DCE4B2D082CF6A57A73AEA2B1250851895D5B607E402B8E8E283C2B1119DE97DE1B8202691DBEE2F1BF4A28743B283122403C0AB57929178BBB66421B632B8D22365D3CC0B120E57EDF25044054B49CD841CF45EFD07AB88108C54DDD9AD43600581CBF4EC691229B81BB19A20CCEE4B107DAA4C9CF15B94D2AECE42FCCA8D21975BC6603724312A119A5D280C438E9D618B40C,images/18746246.jpg,2.0,POINT (-6499604.429777417 -4108429.812616297),28.0,Retiro,1.0,50,4,15.125996463466082,BAJO
4369,18831222.0,2026-02-09 13:20:59.460407,,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--18831222,500000.0,ARS,0.0,Departamento,35.0,0.0,35.0,50.0,,2.0,1.0,Muy Bueno,Interno,NE,0.0,-34.62705,-58.3964,https://proxy.sosiva451.com/proxy/A3BACCE6435C713351F0AF9FADBDC89ED5DFA9797E5C73C8D093A7F140E088D9506320FE528B814B88C7E24548FE439CF695F24F7B6B56E410F619C2FB496133BD7C60ECAF5FE0226B2C9D59C1C6395206FA03B9047628F645BE3068E9860237,images/18831222.jpg,1.0,POINT (-6500657.51216032 -4113313.5231700325),30.0,San Cristobal,3.0,50,4,13.122363377404328,BAJO
4377,18881979.0,2026-02-09 13:20:59.545648,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18881979,800000.0,ARS,319000.0,,42.0,0.0,42.0,10.0,,2.0,1.0,Excelente,Lateral,NE,0.0,-34.568256,-58.446297,https://proxy.sosiva451.com/proxy/358822AE028DCE672A7754082687BE5284DF24E778CE8C1CF08270ED0349E919F394682C2A620EE1D91C69A647BC5DA79BF9236C2D8FFE6B1779250B4FFA5D725AB6FE4515558F40485B954C57BB5E1135DECE0A9BB51267348D42252F384E9D7C692B50073566A8CA88F4357350BB542D58DFFD06CCB931F2C9507C718AAEEABF49CCD5CDC53DEF4704BEB5443A2E19E3CC24E4727A3315D0178296FB681205,images/18881979.jpg,1.0,POINT (-6506212.020792433 -4105362.551722156),20.0,Palermo,14.0,10,5,13.592367006650065,BAJO
4438,18983425.0,2026-02-09 13:21:00.209112,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--18983425,2100000.0,ARS,0.0,,134.0,12.0,146.0,60.0,,4.0,2.0,Muy Bueno,Frente,N,0.0,-34.588676,-58.398502,https://proxy.sosiva451.com/proxy/76569B2A6A04B903341AFA564C7159D42B177002A472423101F5F94B96D5052E6EC1B84C2FD933BD1F492011F2EEFDA9C57658C7F7F47CF3F526D11F9C76282355ED7FE6A46C187648E4EDB758BBA8C2DCCEF12FAC2316EE9914786A54B3922EB09AAABAEC6DB92CB6A96D1CD875039376063F4030850A20BBC303663E4267A62BBFB9B857D7B09ADCA5FAA4D8A4C696EEC97048C861384D8645D7364E4F18AE,images/18983425.jpg,3.0,POINT (-6500891.505729968 -4108123.40042015),27.0,Recoleta,2.0,60,4,14.557447902693651,BAJO
4471,18996662.0,2026-02-09 13:21:00.484688,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18996662,630000.0,ARS,130000.0,,40.0,0.0,40.0,55.0,,2.0,1.0,Excelente,Lateral,,0.0,-34.578068,-58.426533,https://proxy.sosiva451.com/proxy/9DD7A1D4908D078FD89A2F8658F5640F6DE3035F12B2DFFB290B63ECCFFE549D524745765C0199A2207095A0EBC1E6BB4826A715CEA9301C947ECCCE2BD04D5625EDD35A9DA7C996B339CD2B17980C25F26297ECE2020708701FDDBAB157B3A73C234D089538779E1F2EE4F9BA36710A09507B5CB72284D2CD611060DD022236E7B20D1036FF05FD3621D70C6EB97327EE4DA4838A6BFBF4DE7E96FECEA038F9,images/18996662.jpg,1.0,POINT (-6504011.902376394 -4106689.0805595038),20.0,Palermo,14.0,55,5,13.353475098367715,BAJO
4473,18996623.0,2026-02-09 13:21:00.500461,,https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-1-ambiente--18996623,650000.0,ARS,50000.0,Departamento,6.0,45.0,34.0,23.285714285714285,,1.0,1.0,Excelente,Frente,NE,0.0,-34.59985,-58.49689,https://www.argenprop.com/static-content/32669981/492a5a5d-98ec-49c6-8735-fc06f2b4d241_u_small.jpg,images/18996623.jpg,,POINT (-6511844.007790137 -4109634.447839168),36.0,Villa Del Parque,11.0,23,5,13.38472764187182,BAJO
1541,12439253.0,2026-02-04 22:46:00.612321,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chas-1-ambiente--12439253,670000.0,ARS,130000.0,Departamento,37.0,5.0,42.0,3.0,,1.0,1.0,Excelente,Contrafrente,,1.0,-34.58401,-58.47472,https://www.argenprop.com/static-content/35293421/c27101ac-b7a8-47e9-ada1-a7a2272c6fdc_u_small.jpg,images/12439253.jpg,,POINT (-6509376.05467925 -4107492.4826481193),23.0,Parque Chas,15.0,3,5,13.415032991367148,ALTO
1621,15238752.0,2026-02-04 22:46:01.005671,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--15238752,720000.0,ARS,245000.0,Departamento,45.0,5.0,50.0,40.0,,3.0,1.0,Bueno,Contrafrente,N,0.0,-34.6236,-58.42935,https://proxy.sosiva451.com/proxy/1F5FCD415C4C5F089FC0D7C8E9CDDB32A9D0D6058AD1A5DD3B206073FA5EB0E38C66A56774C78C9D894E542EA1F8E3F236582772DF480E68768FA15D5FA587E436247336EB97520989ADC03643EDBF1F7C25D656B70E47936BDF5643B77FA393,images/15238752.jpg,,POINT (-6504325.48938196 -4112846.8089827485),7.0,Caballito,6.0,40,3,13.487006490992238,ALTO
2129,18445536.0,2026-02-05 01:14:45.825753,,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-1-ambiente--18445536,940861.0,ARS,0.0,,34.0,0.0,34.0,39.80952380952381,,1.0,1.0,Muy Bueno,Lateral,S,0.0,-34.612797,-58.367764,https://www.argenprop.com/static-content/63554481/fb7b59b5-1346-414d-b53a-311b6c250fc0_u_small.jpg,images/18445536.jpg,,POINT (-6497469.767221964 -4111385.5103086075),16.0,Monserrat,1.0,40,4,13.754550692459953,ALTO
