id;url;precio;expensas;area_m2;dormitorios;antiguedad;lat;lon;valido_desde;valido_hasta;geometry;barrio;comuna;ambientes;moneda
18040360;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18040360;530000;106000;26.8;0;7.0;-41.096.723.145.339.900;-6.501.227.467.953.180;2026-01-27 19:05:20.636338;2026-02-01 20:28:23.070421;POINT (-6501227.467953182 -4109672.3145339964);Balvanera;3.0;1;$
18657698;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18657698;850000;168000;32.0;1 dorm.;5.0;-4.112.096.048.611.600;-6.499.329.470.635.150;2026-01-27 19:05:20.636338;;POINT (-6499329.470635157 -4112096.048611606);Constitucion;1.0;2;$
18791769;https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18791769;600000;120000;32.0;1 dorm.;50.0;-4.110.747.511.466.330;-6.505.968.565.066.060;2026-01-27 19:05:20.636338;2026-02-01 20:36:17.508818;POINT (-6505968.565066068 -4110747.511466336);Caballito;6.0;2;$
18665173;https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--18665173;650000;140000;37.0;0;27.255.555.555.555.500;-4.114.479.717.068.130;-650.871.926.968.357;2026-01-27 19:05:20.636338;;POINT (-6508719.26968357 -4114479.717068132);Flores;7.0;1;$
18752280;https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18752280;800000;160000;40.3;1 dorm.;0.0;-41.142.673.038.172.900;-6.509.252.490.044.460;2026-01-27 19:05:20.636338;;POINT (-6509252.490044469 -4114267.3038172927);Floresta;10.0;2;$
17450892;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--17450892;690000;210000;51.0;2 dorm.;20.0;-4.112.032.473.012.100;-6.498.384.368.158.320;2026-01-27 19:05:20.636338;2026-02-01 20:43:11.357317;POINT (-6498384.368158322 -4112032.473012101);San Telmo;1.0;3;$
18679527;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18679527;400000;50000;27.0;0;50.0;-41.117.348.898.858.500;-6.499.652.297.158.450;2026-01-27 19:05:20.636338;;POINT (-6499652.297158457 -4111734.8898858577);Monserrat;1.0;1;$
18610027;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18610027;480000;270000;27.0;0;10.0;-41.119.012.649.342.800;-6.499.023.342.035.470;2026-01-27 19:05:20.636338;;POINT (-6499023.342035475 -4111901.2649342855);Monserrat;1.0;1;$
18169184;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18169184;500000;110000;36.0;1 dorm.;45.0;-41.111.992.601.331.500;-6.497.989.183.966.000;2026-01-27 19:05:20.636338;;POINT (-6497989.183966005 -4111199.2601331533);Monserrat;1.0;2;$
18332258;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18332258;470000;180000;37.0;0;0.0;-4.108.013.061.622.760;-6.499.471.959.583.370;2026-01-27 19:05:20.636338;2026-02-01 20:50:58.742391;POINT (-6499471.959583373 -4108013.061622765);Recoleta;2.0;1;$
18472215;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18472215;550000;75000;26.0;1 dorm.;30.0;-41.111.546.254.737.300;-6.498.028.145.787.780;2026-01-27 19:05:20.636338;;POINT (-6498028.145787783 -4111154.6254737377);Monserrat;1.0;2;$
18115116;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18115116;550000;135000;35.0;1 dorm.;15.0;-4.111.853.922.189.870;-64.991.947.740.512.900;2026-01-27 19:05:20.636338;;POINT (-6499194.7740512965 -4111853.922189873);Monserrat;1.0;2;$
18504824;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18504824;320000;94000;28.0;0;45.0;-41.118.633.907.227.800;-6.499.165.830.983.690;2026-01-27 19:05:20.636338;2026-02-01 20:57:33.799469;POINT (-6499165.830983691 -4111863.3907227856);Monserrat;1.0;1;$
11552195;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--11552195;550000;0;35.0;0;40.0;-4.111.434.609.453.280;-6.499.140.227.500.800;2026-01-27 19:05:20.636338;;POINT (-6499140.227500809 -4111434.609453287);Monserrat;1.0;1;$
18738168;https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18738168;650000;156000;41.0;1 dorm.;45.0;-41.112.046.704.069.500;-6.505.376.345.375.040;2026-01-27 19:05:20.636338;2026-02-01 20:58:21.799018;POINT (-6505376.345375048 -4111204.6704069558);Caballito;6.0;2;$
18201080;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-1-ambiente--18201080;380000;69000;30.0;0;50.0;-41.116.307.376.550.000;-6.498.403.292.471.750;2026-01-27 19:05:20.636338;2026-02-01 20:58:36.136117;POINT (-6498403.292471757 -4111630.7376550077);Monserrat;1.0;1;$
18301380;https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-1-ambiente--18301380;520000;77000;34.0;0;10.0;-41.081.977.715.444.100;-6.513.115.499.013.970;2026-01-27 19:05:20.636338;2026-02-01 21:02:54.796681;POINT (-6513115.499013978 -4108197.7715444183);Villa Devoto;11.0;1;$
18781128;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18781128;590000;98600;45.0;1 dorm.;62.0;-41.114.494.880.243.600;-64.995.576.755.912.800;2026-01-27 19:05:20.636338;;POINT (-6499557.6755912835 -4111449.4880243656);Monserrat;1.0;2;$
6155521;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--6155521;700000;182000;38.9;1 dorm.;31.45;-4.111.702.426.749.220;-6.499.636.712.429.740;2026-01-27 19:05:20.636338;;POINT (-6499636.712429747 -4111702.426749228);Monserrat;1.0;2;$
15877049;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--15877049;650000;220000;38.0;1 dorm.;5.0;-4.109.019.131.938.960;-6.501.629.331.314.940;2026-01-27 19:05:20.636338;2026-02-01 21:06:10.018908;POINT (-6501629.331314946 -4109019.131938962);Recoleta;2.0;2;$
18785083;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18785083;650000;220000;38.0;0;5.0;-4.109.019.131.938.960;-6.501.629.331.314.940;2026-01-27 19:05:20.636338;2026-02-01 21:06:14.924245;POINT (-6501629.331314946 -4109019.131938962);Recoleta;2.0;1;$
18537598;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18537598;700000;0;36.0;1 dorm.;31.45;-41.113.669.798.332.200;-6.497.943.542.974.780;2026-01-27 19:05:20.636338;;POINT (-6497943.542974781 -4111366.9798332234);Monserrat;1.0;2;$
18940109;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--18940109;720000;0;55.0;2 dorm.;0.0;-4.111.821.999.766.320;-6.498.382.698.365.960;2026-01-30 20:54:24.055065;;POINT (-6498382.698365961 -4111821.999766326);Monserrat;1.0;3;$
18678781;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18678781;765000;0;48.0;1 dorm.;4.0;-4.111.389.973.858.340;-6.498.718.660.589.170;2026-01-27 19:05:20.636338;;POINT (-6498718.660589173 -4111389.973858343);Monserrat;1.0;2;$
18261302;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--18261302;900000;150000;50.0;0;60.0;-4.111.587.453.895.190;-6.498.215.162.532.310;2026-01-27 19:09:48.654378;;POINT (-6498215.162532316 -4111587.453895199);Monserrat;1.0;1;$
18575609;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-4-ambientes--18575609;1300000;262000;89.0;3 dorm.;40.0;-41.112.296.929.572.000;-6.498.386.149.270.170;2026-01-27 19:05:20.636338;;POINT (-6498386.149270175 -4111229.6929572057);Monserrat;1.0;4;$
8015472;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--8015472;500000;103000;27.3;0;38.0;-4.109.576.295.663.520;-6.500.928.018.522.940;2026-01-27 19:05:20.636338;;POINT (-6500928.018522948 -4109576.295663525);Recoleta;2.0;1;$
18880594;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18880594;500000;100000;25.0;0;45.0;-41.094.796.014.333.100;-6.501.337.451.610.080;2026-01-27 19:09:48.645536;;POINT (-6501337.451610086 -4109479.6014333167);Recoleta;2.0;1;$
18741379;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18741379;600000;240000;45.0;1 dorm.;50.0;-41.089.488.122.678.600;-6.501.988.893.270.200;2026-01-27 19:05:20.636338;;POINT (-6501988.893270209 -4108948.8122678627);Recoleta;2.0;2;$
18611639;https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-1-ambiente--18611639;430000;200000;32.0;0;8.0;-4.108.344.351.710.650;-6.513.616.214.083.560;2026-01-27 19:05:20.636338;2026-02-01 21:27:10.507269;POINT (-6513616.214083566 -4108344.351710653);Villa Devoto;11.0;1;$
14614900;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--14614900;650000;150000;35.0;0;45.0;-41.089.623.352.473.500;-6.501.657.161.187.640;2026-01-27 19:05:20.636338;;POINT (-6501657.161187645 -4108962.3352473513);Recoleta;2.0;1;$
18805679;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18805679;700000;120000;27.0;1 dorm.;3.591.869.918.699.180;-4.108.866.322.445.500;-6.501.712.820.933.040;2026-01-27 19:05:20.636338;;POINT (-6501712.820933041 -4108866.322445504);Recoleta;2.0;2;$
18208687;https://www.argenprop.com/departamento-en-alquiler-en-tribunales-3-ambientes--18208687;550000;314200;90.0;2 dorm.;45.0;-41.098.643.547.374.500;-6.499.409.954.627.000;2026-01-27 19:05:20.636338;2026-02-01 21:40:07.285339;POINT (-6499409.954627001 -4109864.3547374583);San Nicolas;1.0;3;$
2458360;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--2458360;930000;220000;72.0;2 dorm.;50.0;-4.108.790.594.617.270;-6.501.877.573.779.410;2026-01-27 19:05:20.636338;;POINT (-6501877.573779414 -4108790.594617272);Recoleta;2.0;3;$
18454496;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18454496;1300000;260000;85.0;1 dorm.;55.0;-41.078.697.309.794.600;-6.499.543.204.057.470;2026-01-27 19:05:20.636338;;POINT (-6499543.204057479 -4107869.7309794626);Recoleta;2.0;2;$
18926028;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--18926028;2000000;740000;94.0;3 dorm.;60.0;-4.107.875.139.649.780;-6.499.575.931.987.770;2026-01-27 19:09:47.691935;;POINT (-6499575.931987773 -4107875.139649788);Recoleta;2.0;4;$
18054541;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18054541;480000;230000;28.0;0;30.0;-41.080.401.053.454.000;-6.499.227.056.703.620;2026-01-27 19:05:20.636338;;POINT (-6499227.056703627 -4108040.1053454084);Retiro;1.0;1;$
17812346;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--17812346;400000;136000;31.0;0;0.0;-41.089.001.296.764.900;-6.501.487.955.561.630;2026-01-27 19:05:20.636338;2026-02-01 21:45:30.530081;POINT (-6501487.955561639 -4108900.1296764966);Recoleta;2.0;1;$
18363009;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-4-ambientes--18363009;800000;435000;90.0;3 dorm.;2.0;-41.113.805.057.246.400;-6.498.180.653.490.170;2026-01-27 19:05:20.636338;2026-02-01 21:46:17.352060;POINT (-6498180.653490171 -4111380.5057246494);Monserrat;1.0;4;$
18657270;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--18657270;380000;90000;25.0;0;43.369.565.217.391.300;-41.101.605.358.546.000;-6.498.781.778.740.450;2026-01-27 19:05:20.636338;;POINT (-6498781.778740455 -4110160.5358546004);San Nicolas;1.0;1;$
18626062;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--18626062;700000;170000;51.0;2 dorm.;40.0;-4.112.014.482.535.460;-6.498.305.331.319.850;2026-01-27 19:05:20.636338;2026-02-01 21:50:06.393182;POINT (-6498305.331319859 -4112014.482535466);San Telmo;1.0;3;$
18421076;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18421076;430000;0;35.0;0;10.0;-4.112.087.932.557.580;-64.993.483.949.485.900;2026-01-27 19:05:20.636338;2026-02-01 21:50:49.903439;POINT (-6499348.3949485915 -4112087.932557581);Constitucion;1.0;1;$
12027144;https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--12027144;400000;80000;23.0;0;60.0;-4.110.504.061.636.680;-6.499.259.339.355.950;2026-01-27 19:05:20.636338;;POINT (-6499259.339355957 -4110504.061636688);San Nicolas;1.0;1;$
18744387;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18744387;550000;110000;33.0;1 dorm.;10.0;-4.111.433.256.856.890;-6.499.437.450.541.220;2026-01-27 19:05:20.636338;2026-02-01 21:52:22.582923;POINT (-6499437.450541227 -4111433.256856894);Monserrat;1.0;2;$
18723265;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18723265;380000;92000;32.0;0;45.0;-4.111.823.487.673.880;-6.499.651.963.199.980;2026-01-27 19:05:20.636338;2026-02-01 21:54:24.890795;POINT (-6499651.963199985 -4111823.487673881);Monserrat;1.0;1;$
18751863;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18751863;550000;0;40.0;1 dorm.;0.0;-41.118.701.539.654.600;-64.992.971.879.828.200;2026-01-27 19:05:20.636338;2026-02-01 21:55:15.365441;POINT (-6499297.1879828265 -4111870.1539654694);Monserrat;1.0;2;$
18452886;https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18452886;480000;115000;40.0;1 dorm.;48.0;-41.149.559.703.073.400;-6.508.998.681.605.460;2026-01-27 19:05:20.636338;2026-02-01 21:56:23.415933;POINT (-6508998.681605461 -4114955.9703073464);Parque Avellaneda;9.0;2;$
16941721;https://www.argenprop.com/departamento-en-alquiler-en-constitucion-1-ambiente--16941721;500000;277000;44.0;0;15.0;-41.123.760.560.684.500;-6.499.635.599.234.830;2026-01-27 19:05:20.636338;2026-02-01 22:05:21.248496;POINT (-6499635.599234839 -4112376.0560684516);Constitucion;1.0;1;$
18635954;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--18635954;500000;110000;40.0;1 dorm.;50.0;-4.109.973.900.267.870;-6.501.100.563.733.670;2026-01-27 19:05:20.636338;2026-02-01 22:06:44.711967;POINT (-6501100.563733677 -4109973.900267874);Balvanera;3.0;2;$
18765180;https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18765180;650000;120000;44.0;1 dorm.;7.0;-4.114.283.539.083.090;-6.509.105.548.316.620;2026-01-27 19:05:20.636338;2026-02-01 22:08:38.565602;POINT (-6509105.548316622 -4114283.539083095);Flores;7.0;2;$
2855331;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--2855331;420000;115000;36.0;0;35.0;-41.103.471.745.428.200;-6.498.853.023.214.560;2026-01-27 19:05:20.636338;;POINT (-6498853.023214561 -4110347.1745428294);San Nicolas;1.0;1;$
18230172;https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--18230172;780000;219600;50.0;2 dorm.;36.25;-4.114.790.902.975.460;-6.509.318.168.544.030;2026-01-27 19:05:20.636338;2026-02-01 22:12:52.144800;POINT (-6509318.168544038 -4114790.902975462);Parque Avellaneda;9.0;3;$
18702166;https://www.argenprop.com/departamento-en-alquiler-en-congreso-2-ambientes--18702166;480000;170000;33.0;1 dorm.;65.0;-4.110.152.826.932.000;-6.499.005.196.958.470;2026-01-27 19:05:20.636338;;POINT (-6499005.196958477 -4110152.826932004);San Nicolas;1.0;2;$
18114979;https://www.argenprop.com/departamento-en-alquiler-en-microcentro-1-ambiente--18114979;550000;0;33.0;0;43.369.565.217.391.300;-4.110.414.798.021.430;-6.498.456.725.827.330;2026-01-27 19:05:20.636338;;POINT (-6498456.725827338 -4110414.798021437);San Nicolas;1.0;1;$
14133591;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--14133591;700000;190000;51.0;1 dorm.;33.0;-4.110.207.871.460.220;-6.499.416.299.837.970;2026-01-27 19:05:20.636338;;POINT (-6499416.299837976 -4110207.871460226);San Nicolas;1.0;2;$
