id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde,valido_hasta,geometry,index_right,barrio,comuna,ambientes,moneda
16794479,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--16794479,700000.0,135000.0,39.0,1 dorm.,23.487179487179485,400.0,images/16794479.jpg,https://www.argenprop.com/static-content/97449761/52a5cfc3-5fd0-4553-9f12-d9906151027e_u_small.jpg,-34.5533,-58.4613,2026-01-27 19:05:20.636338,,POINT (365928.1271745622 6175522.614432975),19.0,Nuñez,13.0,2,$
15382449,https://www.argenprop.com/departamento-en-alquiler-en-floresta-norte-3-ambientes--15382449,650000.0,100000.0,65.0,2 dorm.,29.17391304347826,400.0,images/15382449.jpg,https://www.argenprop.com/static-content/94428351/1a4c19e4-06ce-4f12-895b-1998132557d7_u_small.jpg,-34.62692,-58.48357,2026-01-27 19:05:20.636338,2026-02-01 20:06:55.422392,POINT (364004.7718636968 6167328.215683972),13.0,Floresta,10.0,3,$
18282821,https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--18282821,520000.0,130000.0,40.0,1 dorm.,60.0,400.0,images/18282821.jpg,https://www.argenprop.com/static-content/12828281/e0f103e6-45b5-4a24-9a8f-713d9f6afa69_u_small.jpg,-34.62867,-58.48541,2026-01-27 19:05:20.636338,2026-02-01 20:07:29.570736,POINT (363838.9498846452 6167131.651970687),13.0,Floresta,10.0,2,$
18129168,https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--18129168,450000.0,110000.0,30.0,0,27.255555555555556,400.0,images/18129168.jpg,https://www.argenprop.com/static-content/86192181/544ae7e2-eff0-483b-bbf8-5f25cc345872_u_small.jpg,-34.6328,-58.46791,2026-01-27 19:05:20.636338,,POINT (365449.8946517033 6166697.12535945),12.0,Flores,7.0,1,$
18740062,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18740062,500000.0,131000.0,26.0,1 dorm.,40.0,400.0,images/18740062.jpg,https://www.argenprop.com/static-content/26004781/9043b332-fc1d-48bb-90c0-22a25ba61441_u_small.jpg,-34.59917,-58.38878,2026-01-27 19:05:20.636338,,POINT (372652.18705111323 6170529.509654624),27.0,Recoleta,2.0,2,$
10870683,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10870683,600000.0,113000.0,40.0,1 dorm.,27.255555555555556,355.0,images/10870683.jpg,https://www.argenprop.com/static-content/38607801/dd36b415-1a03-4fee-8af8-390c9c18d12f_u_small.jpg,-34.63413,-58.45941,2026-01-27 19:05:20.636338,,POINT (366231.20921129064 6166560.939834084),12.0,Flores,7.0,2,$
18582943,https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--18582943,480000.0,128000.0,32.0,1 dorm.,20.0,352.0,images/18582943.jpg,https://www.argenprop.com/static-content/34928581/bd670cb3-bea9-4c7f-94c7-dee93c162c30_u_small.jpg,-34.63278,-58.46642,2026-01-27 19:05:20.636338,,POINT (365586.44793093146 6166701.33154388),12.0,Flores,7.0,2,$
18766753,https://www.argenprop.com/departamento-en-alquiler-en-almagro--18766753,450000.0,95000.0,29.0,1 dorm.,29.971698113207548,350.0,images/18766753.jpg,https://www.argenprop.com/static-content/35766781/d214ca08-5046-4b94-9690-771d34d42c53_u_small.jpg,-34.61165,-58.4148,2026-01-27 19:05:20.636338,2026-02-01 20:12:51.161626,POINT (370285.45639138215 6169112.30782661),1.0,Almagro,5.0,2,$
18552264,https://www.argenprop.com/departamento-en-alquiler-en-flores-norte-3-ambientes--18552264,720000.0,200000.0,60.0,2 dorm.,27.255555555555556,350.0,images/18552264.jpg,https://www.argenprop.com/static-content/46225581/2bbeeb75-2276-4054-9e00-1f4da3ee8e32_u_small.jpg,-34.625164,-58.467274,2026-01-27 19:05:20.636338,,POINT (365495.86913906306 6167544.825041797),12.0,Flores,7.0,3,$
5206081,https://www.argenprop.com/departamento-en-alquiler-en-caballito--5206081,450000.0,120000.0,39.0,1 dorm.,27.273224043715846,350.0,images/5206081.jpg,https://www.argenprop.com/static-content/1806025/1c264ac9-f783-4e58-8b93-f7f996c6293f_u_small.jpg,-34.61609,-58.436,2026-01-27 19:05:20.636338,2026-02-01 20:13:11.955867,POINT (368348.6225169904 6168592.430619316),7.0,Caballito,6.0,2,$
