id;url;precio;expensas;area_m2;ambientes;antiguedad;barrio;comuna;moneda
18384636;https://www.argenprop.com/departamento-en-alquiler-en-floresta-1-ambiente--18384636;400000;70000;1;30.0;2.917.391.304.347.820;Floresta;10.0;$
17271053;https://www.argenprop.com/departamento-en-alquiler-en-liniers-1-ambiente--17271053;450000;0;1;30.0;0.0;Liniers;9.0;$
18516157;https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-1-ambiente--18516157;400000;0;2;22.0;15.071.428.571.428.500;Monte Castro;10.0;$
16003298;https://www.argenprop.com/departamento-en-alquiler-en-caballito-sur-2-ambientes--16003298;449000;150000;2;45.0;20.0;Nueva Pompeya;4.0;$
18651650;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-1-ambiente--18651650;125000;0;1;43.0;5.0;Palermo;14.0;usd
18137372;https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18137372;400000;197000;2;35.0;40.0;Palermo;14.0;$
18783114;https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18783114;420000;100000;1;22.0;40.0;Palermo;14.0;$
18783103;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18783103;420000;100000;1;22.0;40.0;Palermo;14.0;$
16322155;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--16322155;460000;130000;2;42.0;35.0;Palermo;14.0;$
18212643;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18212643;506000;240000;2;32.0;47.0;Palermo;14.0;$
18771820;https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-1-ambiente--18771820;450000;105000;1;25.0;35.0;Parque Chacabuco;7.0;$
18835170;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18835170;400000;212000;1;32.0;50.0;Recoleta;2.0;$
18709497;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18709497;450000;68000;2;27.0;40.0;Recoleta;2.0;$
