idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
3691,18969220.0,2026-02-05 01:14:52.065535,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--18969220,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/02296981/4a157def-84d2-45a6-804a-ae107745cc16_u_small.jpg,images/18969220.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315
4096,18941003.0,2026-02-06 00:52:04.625564,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18941003,650000.0,ARS,120000.0,Departamento,35.0,2.0,37.0,10.0,,1.0,1.0,Excelente,Contrafrente,NE,0.0,-34.56461,-58.45655,https://www.argenprop.com/static-content/30014981/ca7e6598-37c5-4545-870b-607f8aaa7aa9_u_small.jpg,images/18941003.jpg,1.0,POINT (-6507353.379531536 -4104869.672315306),4.0,Belgrano,13.0,10,5,13.38472764187182
4102,18930414.0,2026-02-06 00:52:04.657513,,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-3-ambientes--18930414,3411337.0,USD,0.0,Departamento,104.0,0.0,104.0,13.444444444444445,,3.0,1.0,Excelente,Frente,,1.0,-34.61467,-58.36231,https://www.argenprop.com/static-content/41403981/b8024b91-ab35-47b5-ae8f-b8e014ed40ba_u_small.jpg,images/18930414.jpg,2.0,POINT (-6496862.630719178 -4111638.8533785464),26.0,Puerto Madero,1.0,13,5,15.04261485452703
4182,18517512.0,2026-02-06 21:35:24.233005,,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-4-ambientes--18517512,2600000.0,ARS,0.0,Semipiso,94.0,22.0,116.0,27.40909090909091,,4.0,2.0,Excelente,Frente,SE,0.0,-34.59224,-58.5123,https://www.argenprop.com/static-content/21571581/e8b3e9cd-e1fc-4e93-8048-beaeece94bc6_u_small.jpg,images/18517512.jpg,3.0,POINT (-6513559.441143262 -4108605.334046617),37.0,Villa Devoto,11.0,27,5,14.77102200299171
4237,18774741.0,2026-02-06 21:39:53.558367,,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-3-ambientes--18774741,950000.0,ARS,190000.0,Departamento,58.0,0.0,65.0,45.0,,3.0,1.0,Muy Bueno,Frente,NO,1.0,-34.60743,-58.50971,https://www.argenprop.com/static-content/14747781/374efb57-e539-4448-bd9d-ced9d14e7f18_u_small.jpg,images/18774741.jpg,2.0,POINT (-6513271.123662106 -4110659.598419057),37.0,Villa Devoto,11.0,45,4,13.764217263576723
4256,18365811.0,2026-02-09 02:31:07.589351,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18365811,5191165.0,USD,680000.0,Departamento,140.0,0.0,150.0,25.0,,3.0,4.0,Excelente,Frente,,2.0,-34.58483,-58.39634,https://proxy.sosiva451.com/proxy/E8F54F8CC1578968E4C0C859443BC8E615B9431937B558B015EC31DEAD9C3274B97FF46F93D6D90F4C467E39DFB6948CBA6901EFC2CFA8FC72186E52822894FF524DDDBA7A0F019541599C32302A1B837CE71D3EA8EA57CB35C67CB091AFBD6D,images/18365811.jpg,2.0,POINT (-6500650.832990873 -4107603.3571875584),27.0,Recoleta,2.0,25,5,15.462468700087294
4298,18995698.0,2026-02-09 13:20:58.759797,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18995698,1186552.0,USD,0.0,,37.0,0.0,37.0,23.0,,2.0,1.0,Excelente,Frente,N,0.0,-34.59136,-58.39451,https://proxy.sosiva451.com/proxy/35938A161108672B4139EF0834EB0C34C6493745B87A7793EB562F4DA98EEB4D9ECDD239FB81E3FBACD325508CA45B85A38D41F7F52E4A0523795F6A82023DF8F28610DA40A23E295A1EBE11C9080D5D15C04B93C6091BEA8AC9E6EAE1D2345AE73D5BE549C95F8679209A9E55D6DBA390A0FF031608855210B7DEE300B2A2EA2C8396A84377DD57089707735A74ADB8CA1DA928CB52666D6F9560C14B1A64E8,images/18995698.jpg,1.0,POINT (-6500447.118322722 -4108486.3361673863),27.0,Recoleta,2.0,23,5,13.986562180277717
4303,18995722.0,2026-02-09 13:20:58.823645,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18995722,1185068.81,USD,0.0,,37.0,0.0,37.0,33.0,,2.0,1.0,Excelente,Frente,N,0.0,-34.59136,-58.39451,https://proxy.sosiva451.com/proxy/9D63A61E3455F21A33576BBE1170D6A765E7C4BB17E222280F1E4839BA913C19709A1092A6A1FDB432E2166B251F3F691C76C6CFE509A31F2E0FFD861BB5A18A118D15E3CF68E20C5C9425688EC7C7C2B7305E37632C1952DCB021ED3ADD3C7A97E91D4FC9C2B6B4C7C75685FB36F02B0FF215E438A0A718FE1D27353F7386BADE8059DD853AD3E898CFCA3A7225127F4B12B37ECA8D5177A914B16AEB4825E4,images/18995722.jpg,1.0,POINT (-6500447.118322722 -4108486.3361673863),27.0,Recoleta,2.0,33,5,13.985311398376064
4347,18746246.0,2026-02-09 13:20:59.253690,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18746246,3707975.0,USD,1000000.0,,100.0,9.0,109.0,49.61290322580645,,3.0,2.0,Muy Bueno,Frente,,1.0,-34.590942,-58.38694,https://proxy.sosiva451.com/proxy/9E1F23CA62FD3EBEA2E6D8C13DCE4B2D082CF6A57A73AEA2B1250851895D5B607E402B8E8E283C2B1119DE97DE1B8202691DBEE2F1BF4A28743B283122403C0AB57929178BBB66421B632B8D22365D3CC0B120E57EDF25044054B49CD841CF45EFD07AB88108C54DDD9AD43600581CBF4EC691229B81BB19A20CCEE4B107DAA4C9CF15B94D2AECE42FCCA8D21975BC6603724312A119A5D280C438E9D618B40C,images/18746246.jpg,2.0,POINT (-6499604.429777417 -4108429.812616297),28.0,Retiro,1.0,50,4,15.125996463466082
4369,18831222.0,2026-02-09 13:20:59.460407,,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--18831222,500000.0,ARS,0.0,Departamento,35.0,0.0,35.0,50.0,,2.0,1.0,Muy Bueno,Interno,NE,0.0,-34.62705,-58.3964,https://proxy.sosiva451.com/proxy/A3BACCE6435C713351F0AF9FADBDC89ED5DFA9797E5C73C8D093A7F140E088D9506320FE528B814B88C7E24548FE439CF695F24F7B6B56E410F619C2FB496133BD7C60ECAF5FE0226B2C9D59C1C6395206FA03B9047628F645BE3068E9860237,images/18831222.jpg,1.0,POINT (-6500657.51216032 -4113313.5231700325),30.0,San Cristobal,3.0,50,4,13.122363377404328
4377,18881979.0,2026-02-09 13:20:59.545648,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18881979,800000.0,ARS,319000.0,,42.0,0.0,42.0,10.0,,2.0,1.0,Excelente,Lateral,NE,0.0,-34.568256,-58.446297,https://proxy.sosiva451.com/proxy/358822AE028DCE672A7754082687BE5284DF24E778CE8C1CF08270ED0349E919F394682C2A620EE1D91C69A647BC5DA79BF9236C2D8FFE6B1779250B4FFA5D725AB6FE4515558F40485B954C57BB5E1135DECE0A9BB51267348D42252F384E9D7C692B50073566A8CA88F4357350BB542D58DFFD06CCB931F2C9507C718AAEEABF49CCD5CDC53DEF4704BEB5443A2E19E3CC24E4727A3315D0178296FB681205,images/18881979.jpg,1.0,POINT (-6506212.020792433 -4105362.551722156),20.0,Palermo,14.0,10,5,13.592367006650065
4424,18995727.0,2026-02-09 13:21:00.048656,,https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--18995727,1800000.0,ARS,180300.0,Departamento,64.0,7.0,70.0,6.0,,3.0,2.0,Excelente,Contrafrente,,1.0,-34.54448,-58.46209,https://proxy.sosiva451.com/proxy/15EEFC78FA3AB3693FD9FED7E530C092DB588817A00B46317654FFA91272FA5A7DBC7444E2DE6A5CB89178D0DFA3C2D9FEB51E41508395CF675F365BB4B7B9EC6CC8DD5E21FE2B0A88E728D6661F374796630D1816707AA8A0EA645104E401B0,images/18995727.jpg,2.0,POINT (-6507970.089510532 -4102148.8153150347),19.0,Nuñez,13.0,6,5,14.403297222866392
4438,18983425.0,2026-02-09 13:21:00.209112,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--18983425,2100000.0,ARS,0.0,,134.0,12.0,146.0,60.0,,4.0,2.0,Muy Bueno,Frente,N,0.0,-34.588676,-58.398502,https://proxy.sosiva451.com/proxy/76569B2A6A04B903341AFA564C7159D42B177002A472423101F5F94B96D5052E6EC1B84C2FD933BD1F492011F2EEFDA9C57658C7F7F47CF3F526D11F9C76282355ED7FE6A46C187648E4EDB758BBA8C2DCCEF12FAC2316EE9914786A54B3922EB09AAABAEC6DB92CB6A96D1CD875039376063F4030850A20BBC303663E4267A62BBFB9B857D7B09ADCA5FAA4D8A4C696EEC97048C861384D8645D7364E4F18AE,images/18983425.jpg,3.0,POINT (-6500891.505729968 -4108123.40042015),27.0,Recoleta,2.0,60,4,14.557447902693651
4471,18996662.0,2026-02-09 13:21:00.484688,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18996662,630000.0,ARS,130000.0,,40.0,0.0,40.0,55.0,,2.0,1.0,Excelente,Lateral,,0.0,-34.578068,-58.426533,https://proxy.sosiva451.com/proxy/9DD7A1D4908D078FD89A2F8658F5640F6DE3035F12B2DFFB290B63ECCFFE549D524745765C0199A2207095A0EBC1E6BB4826A715CEA9301C947ECCCE2BD04D5625EDD35A9DA7C996B339CD2B17980C25F26297ECE2020708701FDDBAB157B3A73C234D089538779E1F2EE4F9BA36710A09507B5CB72284D2CD611060DD022236E7B20D1036FF05FD3621D70C6EB97327EE4DA4838A6BFBF4DE7E96FECEA038F9,images/18996662.jpg,1.0,POINT (-6504011.902376394 -4106689.0805595038),20.0,Palermo,14.0,55,5,13.353475098367715
4473,18996623.0,2026-02-09 13:21:00.500461,,https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-1-ambiente--18996623,650000.0,ARS,50000.0,Departamento,6.0,45.0,34.0,23.285714285714285,,1.0,1.0,Excelente,Frente,NE,0.0,-34.59985,-58.49689,https://www.argenprop.com/static-content/32669981/492a5a5d-98ec-49c6-8735-fc06f2b4d241_u_small.jpg,images/18996623.jpg,,POINT (-6511844.007790137 -4109634.447839168),36.0,Villa Del Parque,11.0,23,5,13.38472764187182
