idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
2820,16852460.0,2026-02-05 01:14:48.320652,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--16852460,650000.0,ARS,250000.0,Departamento,41.0,4.0,45.0,15.0,,2.0,1.0,Muy Bueno,Frente,NO,0.0,-34.64477,-58.37333,https://www.argenprop.com/static-content/06425861/c097d782-0431-4409-8dc8-e23be1705b44_u_small.jpg,images/16852460.jpg,,POINT (-6498089.371507721 -4115710.981353211),3.0,Barracas,4.0,15,4,13.38472764187182
2828,18526281.0,2026-02-05 01:14:48.352622,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--18526281,1779828.0,USD,0.0,,55.0,5.0,60.0,5.0,,3.0,1.0,Excelente,Frente,,1.0,-34.567116,-58.432667,https://www.argenprop.com/static-content/18262581/791f00ce-ca4c-45b8-9610-0aa4918be087_u_small.jpg,images/18526281.jpg,,POINT (-6504694.736132921 -4105208.4400956975),20.0,Palermo,14.0,5,5,14.392027288385881
3192,18751736.0,2026-02-05 01:14:49.895235,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18751736,650000.0,ARS,249797.0,Departamento,44.0,0.0,44.0,50.0,,2.0,1.0,Muy Bueno,Contrafrente,E,0.0,-34.5854,-58.4059,https://www.argenprop.com/static-content/63715781/2787dbe4-015d-4135-9e04-03f5db2e1bfe_u_small.jpg,images/18751736.jpg,,POINT (-6501715.047322857 -4107680.4291583207),27.0,Recoleta,2.0,50,4,13.38472764187182
3391,18724606.0,2026-02-05 01:14:50.704464,,https://www.argenprop.com/departamento-en-alquiler-en-tribunales-3-ambientes--18724606,964073.5,USD,230000.0,,50.0,0.0,50.0,45.0,,3.0,1.0,Muy Bueno,Lateral,,0.0,-34.603844,-58.3879,https://www.argenprop.com/static-content/60642781/7e886c58-bc49-4f90-94e2-2e41efbe2411_u_small.jpg,images/18724606.jpg,,POINT (-6499711.2964885775 -4110174.601270868),31.0,San Nicolas,1.0,45,4,13.778922815499472
3690,18969207.0,2026-02-05 01:14:52.049316,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--18969207,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/70296981/1ad78196-c4fe-4472-9fb9-a0013f346a7e_u_small.jpg,images/18969207.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315
3691,18969220.0,2026-02-05 01:14:52.065535,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--18969220,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/02296981/4a157def-84d2-45a6-804a-ae107745cc16_u_small.jpg,images/18969220.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315
3749,18898710.0,2026-02-05 01:14:52.319513,,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-2-ambientes--18898710,550000.0,ARS,173500.0,Departamento,40.0,5.0,45.0,27.40909090909091,,2.0,1.0,Muy Bueno,Frente,,0.0,-34.60431,-58.50895,https://www.argenprop.com/static-content/01789881/5bdd7630-9617-4fd1-89a0-d10439737105_u_small.jpg,images/18898710.jpg,,POINT (-6513186.520849103 -4110237.6253715903),37.0,Villa Devoto,11.0,27,4,13.217673557208654
4057,18956435.0,2026-02-06 00:52:04.492828,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--18956435,815754.5,USD,230000.0,Departamento,36.0,4.0,40.0,15.0,,2.0,1.0,Muy Bueno,Contrafrente,N,0.0,-34.58422,-58.43828,https://www.argenprop.com/static-content/53465981/68ab8e01-0f2a-416c-b445-2df06c5e78cc_u_small.jpg,images/18956435.jpg,1.0,POINT (-6505319.572434743 -4107520.877243032),20.0,Palermo,14.0,15,4,13.611868730836306
4078,17356410.0,2026-02-06 00:52:04.562140,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--17356410,950000.0,ARS,209000.0,Departamento,52.0,0.0,55.0,23.0,,2.0,2.0,Muy Bueno,Frente,,1.0,-34.63248,-58.37024,https://www.argenprop.com/static-content/01465371/1ccc3177-2864-4a17-86f0-a39f351032c7_u_small.jpg,images/17356410.jpg,1.0,POINT (-6497745.3942811685 -4114048.130027687),5.0,La Boca,4.0,23,4,13.764217263576723
4096,18941003.0,2026-02-06 00:52:04.625564,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18941003,650000.0,ARS,120000.0,Departamento,35.0,2.0,37.0,10.0,,1.0,1.0,Excelente,Contrafrente,NE,0.0,-34.56461,-58.45655,https://www.argenprop.com/static-content/30014981/ca7e6598-37c5-4545-870b-607f8aaa7aa9_u_small.jpg,images/18941003.jpg,1.0,POINT (-6507353.379531536 -4104869.672315306),4.0,Belgrano,13.0,10,5,13.38472764187182
