id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon
18506239,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--18506239,$ 1.200.000 + $299.000 expensas,$299.000 expensas,60 m² cubie.,2 dorm.,40 años,3215,images/18506239.jpg,https://www.argenprop.com/static-content/93260581/64423fc6-8d0e-40dd-a214-ecae090edca5_u_small.jpg,-34.56142,-58.451473
17565212,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--17565212,$ 800.000 + $135.000 expensas,$135.000 expensas,54 m² cubie.,1 dorm.,16 años,3210,images/17565212.jpg,https://www.argenprop.com/static-content/21256571/a23d5ce5-0420-4a2c-8693-2d42e7710450_u_small.jpg,-34.55345,-58.4516
17805640,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--17805640,$ 500.000 + $62.000 expensas,$62.000 expensas,22 m² cubie.,1 dorm.,30 años,3200,images/17805640.jpg,https://www.argenprop.com/static-content/04650871/5f22f32a-bdfb-45a4-a9d8-0441f7e12c81_u_small.jpg,-34.578217,-58.468582
18470827,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18470827,$ 650.000 + $150.000 expensas,$150.000 expensas,55,1 dorm.,15 años,3050,images/18470827.jpg,https://www.argenprop.com/static-content/72807481/e14e2acc-a894-4b5c-a595-3df61c2e2244_u_small.jpg,-34.56706,-58.47321
18635991,https://www.argenprop.com/departamento-en-alquiler-en-caballito-6-ambientes--18635991,USD 2.400 + $420.000 expensas,$420.000 expensas,260 m² cubie.,4 dorm.,12 años,3006,images/18635991.jpg,https://www.argenprop.com/static-content/19953681/29334b86-1c42-4e80-83e2-93254077ec33_u_small.jpg,-34.62699,-58.450855
18447626,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--18447626,USD 680 + $80.000 expensas,$80.000 expensas,36 m² cubie.,,15 años,3000,images/18447626.jpg,https://www.argenprop.com/static-content/62674481/44c2d2dc-9f2c-4813-838b-ba565a42c9b3_u_small.jpg,-34.58109,-58.43515
18545562,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--18545562,$ 1.300.000 + $373.000 expensas,$373.000 expensas,77 m² cubie.,2 dorm.,25 años,3000,images/18545562.jpg,https://www.argenprop.com/static-content/26554581/df358ef2-82c0-4203-9b0f-b8201092e8ad_u_small.jpg,-34.56531,-58.46252
11987438,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--11987438,$ 950.000 + $170.000 expensas,$170.000 expensas,50 m² cubie.,2 dorm.,60 años,3000,images/11987438.jpg,https://www.argenprop.com/static-content/83478911/75f55dbc-9ba0-4961-a302-7025fa9b7836_u_small.jpg,-34.56056,-58.46331
18253902,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--18253902,$ 550.000 + $219.745 expensas,$219.745 expensas,32 m² cubie.,,40 años,2981,images/18253902.jpg,https://www.argenprop.com/static-content/20935281/1baa3594-0b92-4e13-906e-5dab44b72469_u_small.jpg,-34.5673,-58.433315
18288370,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18288370,$ 500.000 + $130.000 expensas,$130.000 expensas,,,10 años,2905,images/18288370.jpg,https://www.argenprop.com/static-content/07388281/ddf87cdd-5333-4f2d-99d7-b3adccba11fa_u_small.jpg,-34.62322,-58.43927
18740449,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18740449,$ 1.050.000 + $120.000 expensas,$120.000 expensas,90,2 dorm.,,2890,images/18740449.jpg,https://www.argenprop.com/static-content/94404781/315bb76e-ec22-43a3-9f15-6aa36a201a81_u_small.jpg,-34.58974,-58.40421
18765351,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-chico-1-ambiente--18765351,USD 750 + $140.000 expensas,$140.000 expensas,31 m² cubie.,,7 años,2886,images/18765351.jpg,https://www.argenprop.com/static-content/15356781/0db02d57-594a-42d3-a191-74850045ddd1_u_small.jpg,-34.55389,-58.44985
18633943,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18633943,$ 350.000 + $131.000 expensas,$131.000 expensas,33 m² cubie.,,70 años,2830,images/18633943.jpg,https://www.argenprop.com/static-content/34933681/22977c37-435d-4ccd-b177-eb0551cbcef8_u_small.jpg,-34.5914,-58.40458
18773276,https://www.argenprop.com/departamento-en-alquiler-en-parque-patricios-2-ambientes--18773276,$ 900.000,,48,1 dorm.,50 años,2817,images/18773276.jpg,https://www.argenprop.com/static-content/67237781/a2913bc2-7420-45cb-a65b-b5b19032c3e7_u_small.jpg,-34.64036,-58.40794
18734432,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--18734432,$ 690.000 + $290.000 expensas,$290.000 expensas,71 m² cubie.,2 dorm.,,2790,images/18734432.jpg,https://www.argenprop.com/static-content/23443781/2028cd98-8000-4b64-b83b-aff37d7674c0_u_small.jpg,-34.55672,-58.45953
18793735,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--18793735,$ 790.000 + $200.000 expensas,$200.000 expensas,35 m² cubie.,1 dorm.,15 años,2760,images/18793735.jpg,https://www.argenprop.com/static-content/53739781/ead0e35e-c056-4d6a-9377-eb303cb537fa_u_small.jpg,,
16878213,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-7-ambientes--16878213,USD 3.000 + $1.300.000 expensas,$1.300.000 expensas,235 m² cubie.,3 dorm.,40 años,2760,images/16878213.jpg,https://www.argenprop.com/static-content/31287861/d28d5c91-8ea1-424f-a3eb-c377f86d1ab6_u_small.jpg,-34.49751,-58.4968
14630012,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--14630012,$ 750.000 + $150.000 expensas,$150.000 expensas,42 m² cubie.,1 dorm.,40 años,2750,images/14630012.jpg,https://www.argenprop.com/static-content/21003641/a5c48c43-40c9-41c9-be56-5521f3ba1140_u_small.jpg,-34.58088,-58.41058
